Coil_ID, X [m], Y [m], Z [m]
1, 4.980746, -0.713670, 4.302907
1, 4.980264, -0.702370, 4.313431
1, 4.979682, -0.691017, 4.323891
1, 4.979000, -0.679613, 4.334285
1, 4.978218, -0.668158, 4.344612
1, 4.977335, -0.656653, 4.354873
1, 4.976353, -0.645099, 4.365067
1, 4.975271, -0.633497, 4.375192
1, 4.974089, -0.621848, 4.385250
1, 4.972807, -0.610153, 4.395238
1, 4.971426, -0.598412, 4.405157
1, 4.969945, -0.586628, 4.415006
1, 4.968364, -0.574800, 4.424785
1, 4.966684, -0.562930, 4.434492
1, 4.964904, -0.551018, 4.444129
1, 4.963025, -0.539066, 4.453693
1, 4.961047, -0.527074, 4.463186
1, 4.958970, -0.515044, 4.472605
1, 4.956794, -0.502976, 4.481951
1, 4.954519, -0.490871, 4.491223
1, 4.952145, -0.478731, 4.500421
1, 4.949673, -0.466556, 4.509544
1, 4.947103, -0.454346, 4.518592
1, 4.944434, -0.442104, 4.527565
1, 4.941667, -0.429830, 4.536461
1, 4.938802, -0.417524, 4.545280
1, 4.935839, -0.405189, 4.554023
1, 4.932779, -0.392824, 4.562688
1, 4.929621, -0.380430, 4.571276
1, 4.926366, -0.368010, 4.579785
1, 4.923013, -0.355562, 4.588215
1, 4.919564, -0.343090, 4.596566
1, 4.916019, -0.330592, 4.604837
1, 4.912376, -0.318071, 4.613029
1, 4.908638, -0.305527, 4.621139
1, 4.904803, -0.292961, 4.629170
1, 4.900873, -0.280374, 4.637118
1, 4.896847, -0.267766, 4.644985
1, 4.892725, -0.255140, 4.652770
1, 4.888509, -0.242496, 4.660473
1, 4.884197, -0.229834, 4.668093
1, 4.879791, -0.217156, 4.675629
1, 4.875290, -0.204462, 4.683082
1, 4.870695, -0.191754, 4.690450
1, 4.866006, -0.179032, 4.697735
1, 4.861224, -0.166297, 4.704934
1, 4.856348, -0.153550, 4.712049
1, 4.851378, -0.140793, 4.719077
1, 4.846316, -0.128025, 4.726020
1, 4.841161, -0.115249, 4.732877
1, 4.835914, -0.102464, 4.739647
1, 4.830575, -0.089672, 4.746330
1, 4.825144, -0.076873, 4.752926
1, 4.819622, -0.064070, 4.759434
1, 4.814008, -0.051261, 4.765854
1, 4.808304, -0.038449, 4.772186
1, 4.802509, -0.025634, 4.778429
1, 4.796624, -0.012818, 4.784584
1, 4.790648, -0.000000, 4.790648
1, 4.784584, 0.012818, 4.796624
1, 4.778429, 0.025634, 4.802509
1, 4.772186, 0.038449, 4.808304
1, 4.765854, 0.051261, 4.814008
1, 4.759434, 0.064070, 4.819622
1, 4.752926, 0.076873, 4.825144
1, 4.746330, 0.089672, 4.830575
1, 4.739647, 0.102464, 4.835914
1, 4.732877, 0.115249, 4.841161
1, 4.726020, 0.128025, 4.846316
1, 4.719077, 0.140793, 4.851378
1, 4.712049, 0.153550, 4.856348
1, 4.704934, 0.166297, 4.861224
1, 4.697735, 0.179032, 4.866006
1, 4.690450, 0.191754, 4.870695
1, 4.683082, 0.204462, 4.875290
1, 4.675629, 0.217156, 4.879791
1, 4.668093, 0.229834, 4.884197
1, 4.660473, 0.242496, 4.888509
1, 4.652770, 0.255140, 4.892725
1, 4.644985, 0.267766, 4.896847
1, 4.637118, 0.280374, 4.900873
1, 4.629170, 0.292961, 4.904803
1, 4.621139, 0.305527, 4.908638
1, 4.613029, 0.318071, 4.912376
1, 4.604837, 0.330592, 4.916019
1, 4.596566, 0.343090, 4.919564
1, 4.588215, 0.355562, 4.923013
1, 4.579785, 0.368010, 4.926366
1, 4.571276, 0.380430, 4.929621
1, 4.562688, 0.392824, 4.932779
1, 4.554023, 0.405189, 4.935839
1, 4.545280, 0.417524, 4.938802
1, 4.536461, 0.429830, 4.941667
1, 4.527565, 0.442104, 4.944434
1, 4.518592, 0.454346, 4.947103
1, 4.509544, 0.466556, 4.949673
1, 4.500421, 0.478731, 4.952145
1, 4.491223, 0.490871, 4.954519
1, 4.481951, 0.502976, 4.956794
1, 4.472605, 0.515044, 4.958970
1, 4.463186, 0.527074, 4.961047
1, 4.453693, 0.539066, 4.963025
1, 4.444129, 0.551018, 4.964904
1, 4.434492, 0.562930, 4.966684
1, 4.424785, 0.574800, 4.968364
1, 4.415006, 0.586628, 4.969945
1, 4.405157, 0.598412, 4.971426
1, 4.395238, 0.610153, 4.972807
1, 4.385250, 0.621848, 4.974089
1, 4.375192, 0.633497, 4.975271
1, 4.365067, 0.645099, 4.976353
1, 4.354873, 0.656653, 4.977335
1, 4.344612, 0.668158, 4.978218
1, 4.334285, 0.679613, 4.979000
1, 4.323891, 0.691017, 4.979682
1, 4.313431, 0.702370, 4.980264
1, 4.302907, 0.713670, 4.980746
1, 4.292317, 0.724916, 4.981128
1, 4.281664, 0.736107, 4.981409
1, 4.270946, 0.747243, 4.981591
1, 4.260166, 0.758323, 4.981672
1, 4.249324, 0.769344, 4.981654
1, 4.238419, 0.780308, 4.981535
1, 4.227454, 0.791212, 4.981316
1, 4.216427, 0.802055, 4.980997
1, 4.205340, 0.812838, 4.980579
